episode, show
0, [73 75 65 49 74 61 53 64 61 47 60 79 59 63 66 51]
1, [47 74 58 64 57 66 66 69 81 40 59 76 50 69 60 64]
2, [68 67 52 68 66 53 63 67 58 72 66 53 51 79 51 66]
3, [56 69 63 73 69 59 65 60 46 69 76 45 71 61 59 59]
4, [71 69 63 57 62 65 56 52 70 59 67 51 64 76 60 58]
5, [62 50 42 78 56 58 67 47 56 63 81 74 70 68 57 71]
6, [52 81 57 59 79 60 57 58 53 70 52 64 67 55 61 75]
7, [57 58 51 56 67 60 55 60 67 67 52 74 57 63 71 85]
8, [52 60 68 71 71 53 66 66 50 61 63 70 66 61 63 59]
9, [60 65 66 73 64 70 63 65 68 64 70 58 55 57 57 45]
10, [75 61 62 56 69 71 70 56 60 60 48 65 69 57 61 60]
11, [58 69 52 62 75 62 71 64 62 59 62 60 64 59 56 65]
12, [57 61 62 68 67 61 73 58 62 64 64 70 57 64 47 65]
13, [53 54 55 57 66 60 66 78 60 73 58 62 59 67 52 80]
14, [71 57 60 63 66 63 68 64 51 70 63 67 56 50 63 68]
15, [44 61 65 63 78 60 57 61 69 66 71 68 68 46 58 65]
16, [55 63 66 68 59 65 70 62 76 55 59 69 64 57 54 58]
17, [68 60 62 75 62 70 65 71 52 53 51 75 67 64 52 53]
18, [48 51 60 72 71 55 54 67 64 57 66 64 80 58 66 67]
19, [65 63 65 71 67 59 53 74 54 61 63 62 67 57 54 65]
20, [64 55 78 50 51 59 54 67 61 56 65 70 67 72 63 68]
21, [65 68 51 63 75 69 61 56 58 66 49 69 59 58 71 62]
22, [69 64 67 54 60 62 69 67 61 55 68 66 44 80 57 57]
23, [75 77 54 51 64 51 62 57 60 53 62 77 62 66 68 61]
24, [57 66 59 55 51 58 69 52 65 74 69 66 71 53 70 65]
25, [71 52 66 62 55 59 65 73 62 46 73 58 52 63 61 82]
26, [71 53 65 68 36 60 62 56 59 69 58 67 65 74 68 69]
27, [57 78 54 65 62 60 63 69 63 76 66 46 54 70 58 59]
28, [63 69 55 61 71 67 59 57 57 76 56 63 61 74 50 61]
29, [68 67 77 61 46 69 66 54 54 59 56 63 56 70 62 72]
30, [63 61 60 58 61 67 66 68 63 76 51 45 70 48 72 71]
31, [57 65 58 64 58 69 70 60 61 70 62 56 63 54 73 60]
32, [59 63 55 66 58 64 62 51 64 68 59 68 61 72 57 73]
33, [56 57 56 58 73 59 65 58 76 65 60 62 64 64 61 66]
34, [69 67 55 67 63 60 58 68 64 66 58 56 52 75 64 58]
35, [71 70 49 50 72 77 61 61 69 63 66 67 69 45 45 65]
36, [70 84 50 78 54 61 67 56 51 64 74 57 49 64 59 62]
37, [48 60 55 61 62 63 76 71 73 57 59 66 75 60 53 61]
38, [61 57 57 67 74 52 53 59 64 74 55 61 57 63 59 87]
39, [65 73 67 60 47 61 66 62 65 56 60 68 62 61 69 58]
40, [78 62 61 68 52 51 67 67 73 60 69 55 65 47 58 67]
41, [65 68 52 68 53 57 79 66 72 73 60 63 53 57 43 71]
42, [65 71 51 50 56 59 76 60 55 69 68 62 60 61 65 72]
43, [67 52 59 66 63 63 59 55 54 70 58 62 63 68 65 76]
44, [61 53 59 76 69 60 62 62 71 68 56 49 67 70 58 59]
45, [69 69 43 73 64 53 65 56 60 70 73 56 50 82 60 57]
46, [61 62 52 55 74 59 63 61 64 71 61 68 62 67 63 57]
47, [65 56 55 64 59 66 63 68 67 54 60 57 76 72 61 57]
48, [76 48 68 73 54 59 58 63 57 43 77 66 64 70 60 64]
49, [70 56 51 62 53 61 68 57 79 64 63 52 64 60 71 69]
50, [61 61 55 56 65 59 74 55 68 64 58 63 58 77 63 63]
51, [60 51 64 65 70 54 74 60 64 76 54 61 62 69 59 57]
52, [67 57 60 71 62 62 72 60 56 62 56 54 68 78 62 53]
53, [42 64 50 51 65 64 60 61 74 56 62 60 74 76 59 82]
54, [69 73 50 47 61 54 58 63 72 84 75 58 78 60 42 56]
55, [66 70 47 65 60 50 74 52 65 69 58 68 53 72 64 67]
56, [59 69 66 54 64 63 58 65 57 67 59 70 78 55 49 67]
57, [64 67 52 63 66 69 54 60 64 70 64 63 74 44 58 68]
58, [57 62 53 84 66 53 68 70 59 56 53 67 68 51 67 66]
59, [54 71 50 65 64 64 60 71 47 69 68 60 76 63 71 47]
60, [56 75 42 51 58 72 72 57 74 56 70 63 58 77 58 61]
61, [67 49 52 60 58 55 62 66 63 69 66 68 67 74 58 66]
62, [44 62 50 75 48 54 67 66 66 65 71 75 56 59 59 83]
63, [57 65 61 67 58 70 60 61 70 57 71 56 71 58 55 63]
64, [64 58 57 47 41 72 54 80 70 63 67 63 62 66 65 71]
65, [60 50 60 71 52 63 67 67 70 63 56 67 62 58 67 67]
66, [66 63 51 60 79 64 58 60 70 69 59 72 55 55 53 66]
67, [69 67 57 59 49 57 72 69 57 60 60 65 62 65 54 78]
68, [75 69 53 65 54 64 56 57 59 72 63 54 62 77 59 61]
69, [62 79 66 66 72 61 57 51 70 61 50 69 62 59 56 59]
70, [51 67 47 67 69 63 54 66 66 67 63 62 53 72 62 71]
71, [61 69 45 64 52 67 64 63 65 61 70 62 63 63 64 67]
72, [59 54 40 63 74 63 63 72 68 56 69 75 51 58 66 69]
73, [70 70 56 57 54 60 75 70 61 63 61 51 73 52 69 58]
74, [61 73 53 61 57 80 50 55 66 49 71 65 67 59 71 62]
75, [61 48 45 58 56 63 65 63 82 56 68 65 68 76 48 78]
76, [64 75 49 65 81 54 74 63 55 58 66 56 65 57 59 59]
77, [80 55 50 69 54 60 59 83 64 65 57 61 48 59 74 62]
78, [57 54 58 70 77 51 64 70 65 55 60 69 55 53 67 75]
